Abhayapuri#-90.63;26.4&
Bijawar#-79.5;24.63&
Bijnor#-78.18;29.45&
Bikaner#-73.3;28.03&
Bikapur#-82.12;26.5&
Bilara#-73.88;26.23&
Bilaspur, Chhattisgarh#-82.25;22.03&
Bilaspur, Punjab#-76.83;31.32&
Bilgram#-80.03;27.18&
Bilhaur#-80.08;26.85&
Bina-Etawah#-78.23;24.22&
Bindki#-80.6;26.03&
Bir#-75.77;19.07&
Birmitrapur#-84.77;22.4&
Birsilpur#-72.25;28.18&
Birur#-75.92;13.5&
Bisalpur#-79.8;28.23&
Bishnupur#-87.33;23.13&
Biswan#-81.03;27.48&
Bobbili#-83.5;18.58&
Bodhan#-77.73;18.67&
Bokaro#-85.92;23.77&
Bolpur#-87.75;23.67&
Bombay/Mumbai#-72.83;18.92&
Bonaigarh#-84.95;21.83&
Borsad#-72.9;22.42&
Botad#-71.67;22.25&
Brahmani#-86.77;20.65&
Brahmapur#-84.9;19.25&
Brahmaputra#-95.5;27.8&
Budaun#-79.17;28.08&
Budge Budge/Baj Baj.#-88.08;22.5&
Bulandshahr#-77.85;28.47&
Bulsar/Valsad#-72.97;20.67&
Bundi#-75.58;25.5&
Burda#-77.58;25.83&
Burdwan/Barddhaman#-87.65;23.23&
Burhanpur#-76.23;21.3&
Burhi Gandak#-86.62;25.33&
Burhner#-80.52;22.72&
Buxa Duar#-89.58;27.75&
Buxar#-83.97;25.57&
Calcutta/Kolkata#-88.4;22.6&
Calicut#-75.72;11.25&
Cambay/Khambhat#-72.55;22.38&
Cambay, G. of/Khambhat G. of#-72.5;20.75&
Cannanore#-75.45;11.88&
Canning Town/Port Canning#-88.67;22.38&
Cardamon Hills#-77.25;9.5&
Cauvery#-78.87;11.15&
Cawnpore/Kanpur#-80.33;26.47&
chaibasa#-85.82;22.7&
Chakradharpur#-85.67;22.75&
Chakrata#-77.85;30.7&
Chalisgaon#-75.17;20.5&
Chamba#-76.17;32.58&
Chambal#-79.25;26.48&
Chamoli#-79.35;30.4&
Champa#-82.72;22.03&
Champawat#-80.1;29.33&
Champua#-85.67;22.08&
Chanasma#-72.08;23.73&
Chand#-79.12;21.95&
Chandan#-86.67;24.63&
Chandan Chauki#-80.78;28.55&
Chandannagar#-88.4;22.87&
Chandausi#-78.82;28.45&
Chandigarh#-76.78;30.72&
Chandil#-86.05;22.97&
Chandod#-73.47;21.98&
Chandrapur#-79.42;19.95&
Chnaga#-77.58;33.88&
Changanacheri#-76.52;9.42&
Channapatna#-77.25;12.67&
Chapra= Chhapra#-84.73;25.8&
Charanwala#-72.17;27.85&
Charkhari#-79.75;25.4&
Charkhi Dadri#-76.28;28.62&
Chatra#-84.93;24.2&
Chatrapur#-85.03;19.37&
Chatsu#-75.95;26.6&
Chennai#-80.32;13.13&
Cherrapunji#-91.78;25.28&
Chhabra#-76.9;24.67&
Chhaktala#-74.18;22.1&
Chhapra#-84.73;25.8&
Chhata#-77.5;27.7&
Chhatarpur, Jharkhand#-84.18;24.38&
Chhatarpur, Mad. P.#-79.58;24.92&
Chhattisgarh#-82;22&
Chhindwara, Mad. P.#-79.48;23.05&
Chhindwara, Mad. P.#-78.98;22.03&
Chhota Tawa#-76.6;22.23&
Chhoti Kali Sindh#-75.52;24.03&
Chhuikhadan#-80.98;21.53&
Chicacole/Srikakulam#-83.97;18.23&
Chicholi#-77.67;22.02&
Chidambaram#-79.75;11.33&
Chik Bollapur#-77.75;13.42&
Chikmagalur#-75.75;13.25&
Chilka L.#-85.42;19.67&
Chilo#-73.53;27.42&
Chineni#-75.25;33.03&
Chini#-75.25;31.53&
Chirala#-80.43;15.83&
Chirawa#-75.7;28.23&
Chirmiri#-82.33;23.25&
Chittaurgarh#-74.63;24.87&
Chittoor#-79.08;13.25&
Chomun#-75.67;27.25&
Chorbat La#-76.62;34.7&
Chotila#-71.25;22.38&
Chotta Udepur#-74.02;22.32&
Chuda#-71.68;22.48&
Chumar#-78.58;32.67&
Chunchura#-88.45;22.88&
Churachandpur#-93.67;24.33&
Churki#-83.2;23.83&
Churu#-74.83;28.33&
Chushal#-78.67;33.67&
Cocanada/Kakinada#-82.18;16.95&
Cochin#-76.33;9.97&
Coimbatore#-76.98;11.03&
Comorin, C.#-77.67;8.05&
Conjeeveram/Kanchipuram#-79.75;12.87&
Contai#-87.77;21.9&
Cooch Behar/Koch Bihar#-89.48;26.37&
Coondapoor#-74.67;13.7&
Coromandel Coast#-81;12.5&
Cuddalore#-79.75;11.77&
Cuddapah#-78.78;14.5&
Cumbum#-79.17;15.67&
Cuttack#-85.95;20.42&
Dabhoi#-73.33;22.17&
Dadra & Nagar Haveli#-73;20.08&
Dadri/Charkhi Dadri#-76.28;28.62&
Dahod#-74.25;22.83&
Dakor#-73.18;22.75&
Dalhousie#-75.97;32.63&
Dalmau#-81.03;26.07&
Daltenganj#-84.07;24&
Daman#-72.95;20.42&
Damodar#-87.58;23.28&
Damoh#-79.47;23.83&
Dandell#-74.5;15.08&
Dankhar Gompa#-78.17;32.17&
Danta#-72.77;24.18&
Dantan#-87.33;21.95&
Darbhanga#-85.92;26.25&
Darjeeling/Darjiling#-88.3;27.05&
Darjiling#-88.3;27.05&
Darwha#-77.75;20.25&
Dasuya#-75.63;31.82&
Datia#-78.45;25.65&
Daudnagar#-84.4;25.03&
Daulpur#-77.98;26.75&
Dausa#-76.33;26.87&
Davangere#-75.92;14.42&
Deccan#-79;18&
Dechhu#-72.33;26.77&
Dechhu#-72.33;26.77&
Degana#-74.33;26.83&
Dehej#-72.67;21.73&
Dehra Dun#-78.07;30.33&
Dehri#-84.25;24.83&
Delhi#-77.28;28.63&
Delvada#-71.03;20.77&
Demchok#-79.48;32.7&
Deoband#-77.72;29.7&
Deogarh#-73.9;25.53&
Deoghar#-86.7;24.5&
Deolali#-73.83;19.97&
Deoli/Devli#-75.33;25.83&
Deora#-70.92;26.37&
Deori#-79.02;23.4&
Deoria#-83.8;26.52&
Deosri#-90.48;26.77&
Depalpur#-75.55;22.85&
Dergaon#-94;26.75&
Deshnok#-73.35;27.8&
Desuri#-73.58;25.3&
Devakottai#-78.75;9.92&
Devaprayag#-78.58;30.22&
Devgadh Bariya#-73.92;22.67&
Devikot#-71.2;26.7&
Devil#-75.33;25.83&
Dewas#-76.05;22.98&
Dhadhar#-85.4;24.93&
Dhampur#-78.55;29.32&
Dhamtari#-81.58;20.7&
Dhanbad#-86.5;23.83&
Dhar#-75.43;22.58&
Dharampur#-75.3;22.22&
Dharamsala/Dharmsala#-76.38;32.27&
Dhariwal#-75.32;31.95&
Dharmapuri#-78.17;12.17&
Dharmjaygarh#-83.22;22.47&
Dharmsala#-76.38;32.27&
Dharni#-76.88;21.55&
Dharwad#-75.07;15.5&
Dhasan#-79.4;25.8&
Dhebar, L.#-74;24.17&
Dhenkanal#-85.58;20.75&
Dhilwan#-75.35;31.52&
Dhimarkhera#-80.37;23.47&
Dholka#-72.48;22.73&
Dhoraji#-70.62;21.75&
Dhrangadhra#-71.52;22.98&
Dhrol#-70.42;22.55&
Dhuburi#-89.98;26.03&
Dhule#-74.83;20.97&
Diamond Harbour#-88.23;22.18&
Dibai#-78.25;28.22&
Dibrugarh#-94.92;27.48&
Didwana#-74.6;27.38&
Dig#-77.33;27.47&
Diggi#-75.43;26.37&
Dihang/Brahmaputra#-95.5;27.8&
Dinapur#-85.08;25.63&
Dindigul#-78;10.42&
Dindori#-81.08;22.95&
Disa#-72.17;24.3&
Diu#-70.97;20.75&
Diyodar#-71.83;24.13&
Doda#-75.57;33.17&
Dohrighat#-83.52;26.27&
Domariaganj#-83.73;26.28&
Dras#-75.8;34.42&
Dubrajpur#-87.42;23.8&
Dudhi#-83.17;24.25&
Dudwa#-80.68;28.5&
Dum Dum#-88.55;22.65&
Dum Duma#-95.67;27.67&
Dumka#-87.25;24.2&
Dumraon#-84.13;25.55&
Dunagiri#-79.87;30.52&
Dungarpur#-73.75;23.87&
Durg#-81.37;21.25&
Durgapur#-87.33;23.5&
Dwarka#-69.13;22.3&
Easter Ghats#-78.83;14&
Egra#-174.08;39.28&
Elore/Eluru#-81.13;16.8&
Eluru#-81.13;16.8&
English Bazar/Ingraj Bazar#-88.17;24.97&
Erinpura#-73.05;25.15&
Erode#-77.75;11.4&
Errampala Hills#-78.25;15.5&
Etah#-78.67;27.58&
Etawah#-79.1;26.8&
Faizabad#-82.17;26.75&
Faridabad#-77.32;28.43&
Faridkot#-74.75;30.73&
Faridpur#-79.55;28.22&
Fatehabad, Haryana#-75.45;29.52&
Fatehabad, Ut. P.#-78.32;27.02&
Fatehgarh#-79.58;27.42&
Fatehpur, Bihar#-85.23;24.63&
Fatehpur, Raj.#-74.67;28&
Fatehpur, Ut. P.#-81.22;25.93&
Fatehpur, Ut. P.#-81.22;27.17&
Fatehpur Sikri#-77.67;27.1&
Fazilka#-74.03;30.45&
Ferozepore/Fiozpur#-74.67;30.92&
Firozabad#-78.42;27.17&
Firozpur#-74.67;30.92&
Firozpur-Jhirka#-76.95;27.8&
Forbesganj#-87.3;26.28&
Gadag#-75.75;15.5&
Gadarwara#-78.83;22.83&
